addressee,date,month,day,year,file_name
DR. SCOTT,JANUARY 20 1890,JANUARY,20,1890,wikisource_vol2_ch10_letter32.txt
CHARLES BAXTER,FEBRUARY 3 1890,FEBRUARY,3,1890,wikisource_vol2_ch10_letter33.txt
E. L. BURLINGAME,FEBRUARY 1890,FEBRUARY,,1890,wikisource_vol2_ch10_letter34.txt
JAMES PAYN,FEBRUARY 4 1890,FEBRUARY,4,1890,wikisource_vol2_ch10_letter35.txt
CHARLES BAXTER,MARCH 7 1890,MARCH,7,1890,wikisource_vol2_ch10_letter36.txt
SIDNEY COLVIN,SPRING 1890,SPRING,,1890,wikisource_vol2_ch10_letter37.txt
E. L. BURLINGAME,JULY 13 1890,JULY,13,1890,wikisource_vol2_ch10_letter38.txt
CHARLES BAXTER,AUGUST 1890,AUGUST,,1890,wikisource_vol2_ch10_letter39.txt
CHARLES BAXTER,OCTOBER 6 1888,OCTOBER,6,1888,wikisource_vol2_ch10_letter4.txt
E. L. BURLINGAME,AUGUST 1890,AUGUST,,1890,wikisource_vol2_ch10_letter40.txt
HENRY JAMES,AUGUST 1890,AUGUST,,1890,wikisource_vol2_ch10_letter41.txt
MARCEL SCHWOB,AUGUST 19 1890,AUGUST,19,1890,wikisource_vol2_ch10_letter42.txt
ANDREW LANG,AUGUST 1890,AUGUST,,1890,wikisource_vol2_ch10_letter43.txt
MRS. CHARLES FAIRCHILD,SEPTEMBER 1890,SEPTEMBER,,1890,wikisource_vol2_ch10_letter44.txt
MISS ADELAIDE BOODLE,OCTOBER 10 1888,OCTOBER,10,1888,wikisource_vol2_ch10_letter5.txt
SIDNEY COLVIN,OCTOBER 16 1888,OCTOBER,16,1888,wikisource_vol2_ch10_letter6.txt
WILLIAM AND THOMAS ARCHER,OCTOBER 17 1888,OCTOBER,17,1888,wikisource_vol2_ch10_letter7.txt
CHARLES BAXTER,NOVEMBER 1888,NOVEMBER,,1888,wikisource_vol2_ch10_letter8.txt
TAUTIRA,NOVEMBER 10 1888,NOVEMBER,10,1888,wikisource_vol2_ch10_letter9.txt
E. L. BURLINGAME,NOVEMBER 7 1890,NOVEMBER,7,1890,wikisource_vol2_ch11_letter1.txt
MISS RAWLINSON,APRIL 1891,APRIL,,1891,wikisource_vol2_ch11_letter10.txt
MISS ADELAIDE BOODLE,MAY 1891,MAY,,1891,wikisource_vol2_ch11_letter11.txt
CHARLES BAXTER,MAY 19 1891,MAY,19,1891,wikisource_vol2_ch11_letter12.txt
E. L. BURLINGAME,SUMMER 1891,SUMMER,,1891,wikisource_vol2_ch11_letter13.txt
W. CRAIBE ANGUS,SUMMER 1891,SUMMER,,1891,wikisource_vol2_ch11_letter14.txt
H. C. IDE ,JUNE 19 1891,JUNE,19,1891,wikisource_vol2_ch11_letter15.txt
HENRY JAMES,OCTOBER 1891,OCTOBER,,1891,wikisource_vol2_ch11_letter16.txt
E. L. BURLINGAME,OCTOBER 8 1891,OCTOBER,8,1891,wikisource_vol2_ch11_letter17.txt
E. L. BURLINGAME,AUTUMN 1891,AUTUMN,,1891,wikisource_vol2_ch11_letter18.txt
W. CRAIBE ANGUS,NOVEMBER 1891,NOVEMBER,,1891,wikisource_vol2_ch11_letter19.txt
E. L. BURLINGAME,DECEMBER 1890,DECEMBER,,1890,wikisource_vol2_ch11_letter2.txt
MISS ANNIE H. IDE,NOVEMBER 1891,NOVEMBER,,1891,wikisource_vol2_ch11_letter20.txt
FRED ORR,NOVEMBER 28 1891,NOVEMBER,28,1891,wikisource_vol2_ch11_letter21.txt
E. L. BURLINGAME,DECEMBER 1891,DECEMBER,,1891,wikisource_vol2_ch11_letter22.txt
HENRY JAMES,DECEMBER 7 1891,DECEMBER,7,1891,wikisource_vol2_ch11_letter23.txt
E. L. BURLINGAME,JANUARY 2 1892,JANUARY,2,1892,wikisource_vol2_ch11_letter24.txt
J. M. BARRIE,FEBRUARY 1892,FEBRUARY,,1892,wikisource_vol2_ch11_letter25.txt
WILLIAM MORRIS,FEBRUARY 1892,FEBRUARY,,1892,wikisource_vol2_ch11_letter26.txt
MRS. CHARLES FAIRCHILD,MARCH 1892,MARCH,,1892,wikisource_vol2_ch11_letter27.txt
E. L. BURLINGAME,MARCH 1892,MARCH,,1892,wikisource_vol2_ch11_letter28.txt
T. W. DOVER,JUNE 20 1892,JUNE,20,1892,wikisource_vol2_ch11_letter29.txt
HENRY JAMES,DECEMBER 29 1890,DECEMBER,29,1890,wikisource_vol2_ch11_letter3.txt
E. L. BURLINGAME,SUMMER 1892,SUMMER,,1892,wikisource_vol2_ch11_letter30.txt
CHARLES BAXTER,JULY 18 1892,JULY,18,1892,wikisource_vol2_ch11_letter31.txt
W. E. HENLEY,AUGUST 1 1892,AUGUST,1,1892,wikisource_vol2_ch11_letter32.txt
E. L. BURLINGAME,AUGUST 1 1892,AUGUST,1,1892,wikisource_vol2_ch11_letter33.txt
ANDREW LANG,AUGUST 1892,AUGUST,,1892,wikisource_vol2_ch11_letter34.txt
THE COUNTESS OF JERSEY,AUGUST 14 1892,AUGUST,14,1892,wikisource_vol2_ch11_letter35.txt
THE COUNTESS OF JERSEY,,,,,wikisource_vol2_ch11_letter36.txt
MRS. CHARLES FAIRCHILD,AUGUST 1892,AUGUST,,1892,wikisource_vol2_ch11_letter37.txt
GORDON BROWNE,AUTUMN 1892,AUTUMN,,1892,wikisource_vol2_ch11_letter38.txt
MISS MORSE,OCTOBER 7 1892,OCTOBER,7,1892,wikisource_vol2_ch11_letter39.txt
RUDYARD KIPLING,1891,,,1891,wikisource_vol2_ch11_letter4.txt
E. L. BURLINGAME,OCTOBER 10 1892,OCTOBER,10,1892,wikisource_vol2_ch11_letter40.txt
J. M. BARRIE,NOVEMBER 1 1892,NOVEMBER,1,1892,wikisource_vol2_ch11_letter41.txt
E. L. BURLINGAME,NOVEMBER 2 1892,NOVEMBER,2,1892,wikisource_vol2_ch11_letter42.txt
LIEUTENANT EELES,NOVEMBER 15 1892,NOVEMBER,15,1892,wikisource_vol2_ch11_letter43.txt
CHARLES BAXTER,DECEMBER 1 1892,DECEMBER,1,1892,wikisource_vol2_ch11_letter44.txt
MRS. JENKIN,DECEMBER 5 1892,DECEMBER,5,1892,wikisource_vol2_ch11_letter45.txt
HENRY JAMES,DECEMBER 5 1892,DECEMBER,5,1892,wikisource_vol2_ch11_letter46.txt
J. M. BARRIE,DECEMBER 5 1892,DECEMBER,5,1892,wikisource_vol2_ch11_letter47.txt
MARCEL SCHWOB,JANUARY 19 1891,JANUARY,19,1891,wikisource_vol2_ch11_letter5.txt
CHARLES BAXTER,MARCH 1891,MARCH,,1891,wikisource_vol2_ch11_letter6.txt
H. B. BAILDON,1891,,,1891,wikisource_vol2_ch11_letter7.txt
W. CRAIBE ANGUS,APRIL 1891,APRIL,,1891,wikisource_vol2_ch11_letter8.txt
EDMUND GOSSE,APRIL 1891,APRIL,,1891,wikisource_vol2_ch11_letter9.txt
CHARLES BAXTER,APRIL 1893,APRIL,,1893,wikisource_vol2_ch12_letter1.txt
A. CONAN DOYLE,AUGUST 23 1893,AUGUST,23,1893,wikisource_vol2_ch12_letter10.txt
GEORGE MEREDITH,SEPTEMBER 5 1893,SEPTEMBER,5,1893,wikisource_vol2_ch12_letter11.txt
AUGUSTUS ST. GAUDENS,SEPTEMBER 1893,SEPTEMBER,,1893,wikisource_vol2_ch12_letter12.txt
J. HORNE STEVENSON,NOVEMBER 5 1893,NOVEMBER,5,1893,wikisource_vol2_ch12_letter13.txt
JOHN P,DECEMBER 3 1893,DECEMBER,3,1893,wikisource_vol2_ch12_letter14.txt
RUSSELL P,DECEMBER 3 1893,DECEMBER,3,1893,wikisource_vol2_ch12_letter15.txt
ALISON CUNNINGHAM,DECEMBER 5 1893,DECEMBER,5,1893,wikisource_vol2_ch12_letter16.txt
CHARLES BAXTER,DECEMBER 6 1893,DECEMBER,6,1893,wikisource_vol2_ch12_letter17.txt
J. M. BARRIE,DECEMBER 7 1893,DECEMBER,7,1893,wikisource_vol2_ch12_letter18.txt
R. LE GALLIENNE,DECEMBER 28 1893,DECEMBER,28,1893,wikisource_vol2_ch12_letter19.txt
A. CONAN DOYLE,APRIL 5 1893,APRIL,5,1893,wikisource_vol2_ch12_letter2.txt
MRS. A. BAKER,DECEMBER 1893,DECEMBER,,1893,wikisource_vol2_ch12_letter20.txt
HENRY JAMES,DECEMBER 1893,DECEMBER,,1893,wikisource_vol2_ch12_letter21.txt
CHARLES BAXTER,JANUARY 1 1894,JANUARY,1,1894,wikisource_vol2_ch12_letter22.txt
H. B. BAILDON,JANUARY 15 1894,JANUARY,15,1894,wikisource_vol2_ch12_letter23.txt
W. H. LOW,JANUARY 15 1894,JANUARY,15,1894,wikisource_vol2_ch12_letter24.txt
H. B. BAILDON,JANUARY 30 1894,JANUARY,30,1894,wikisource_vol2_ch12_letter25.txt
J. H. BATES,MARCH 25 1894,MARCH,25,1894,wikisource_vol2_ch12_letter26.txt
WILLIAM ARCHER,MARCH 27 1894,MARCH,27,1894,wikisource_vol2_ch12_letter27.txt
W. B. YEATS,APRIL 14 1894,APRIL,14,1894,wikisource_vol2_ch12_letter28.txt
GEORGE MEREDITH,APRIL 17 1894,APRIL,17,1894,wikisource_vol2_ch12_letter29.txt
S. R. CROCKETT,MAY 17 1893,MAY,17,1893,wikisource_vol2_ch12_letter3.txt
CHARLES BAXTER,APRIL 17 1894,APRIL,17,1894,wikisource_vol2_ch12_letter30.txt
MRS. SITWELL,APRIL 1894,APRIL,,1894,wikisource_vol2_ch12_letter31.txt
CHARLES BAXTER,MAY 1894,MAY,,1894,wikisource_vol2_ch12_letter32.txt
R. A. M. STEVENSON,JUNE 1894,JUNE,,1894,wikisource_vol2_ch12_letter33.txt
HENRY JAMES,JULY 7 1894,JULY,7,1894,wikisource_vol2_ch12_letter34.txt
MR. MARCEL SCHWOB,JULY 7 1894,JULY,7,1894,wikisource_vol2_ch12_letter35.txt
A. ST. GAUDENS,JULY 8 1894,JULY,8,1894,wikisource_vol2_ch12_letter36.txt
MISS ADELAIDE BOODLE,JULY 14 1894,JULY,14,1894,wikisource_vol2_ch12_letter37.txt
MRS. BAKER,JULY 16 1894,JULY,16,1894,wikisource_vol2_ch12_letter38.txt
J. M. BARRIE,JULY 13 1894,JULY,13,1894,wikisource_vol2_ch12_letter39.txt
AUGUSTUS ST. GAUDENS,MAY 29 1893,MAY,29,1893,wikisource_vol2_ch12_letter4.txt
DR. BAKEWELL,AUGUST 7 1894,AUGUST,7,1894,wikisource_vol2_ch12_letter40.txt
JAMES PAYN,AUGUST 11 1894,AUGUST,11,1894,wikisource_vol2_ch12_letter41.txt
MISS MIDDLETON,SEPTEMBER 9 1894,SEPTEMBER,9,1894,wikisource_vol2_ch12_letter42.txt
A. CONAN DOYLE,SEPTEMBER 9 1894,SEPTEMBER,9,1894,wikisource_vol2_ch12_letter43.txt
CHARLES BAXTER,SEPTEMBER 1894,SEPTEMBER,,1894,wikisource_vol2_ch12_letter44.txt
R. A. M. STEVENSON,SEPTEMBER 1894,SEPTEMBER,,1894,wikisource_vol2_ch12_letter45.txt
SIR HERBERT MAXWELL,SEPTEMBER 10 1894,SEPTEMBER,10,1894,wikisource_vol2_ch12_letter46.txt
ALISON CUNNINGHAM,OCTOBER 8 1894,OCTOBER,8,1894,wikisource_vol2_ch12_letter47.txt
JAMES PAYN,NOVEMBER 4 1894,NOVEMBER,4,1894,wikisource_vol2_ch12_letter48.txt
LIEUTENANT EELES,NOVEMBER 24 1894,NOVEMBER,24,1894,wikisource_vol2_ch12_letter49.txt
EDMUND GOSSE,JUNE 10 1893,JUNE,10,1893,wikisource_vol2_ch12_letter5.txt
SIR HERBERT MAXWELL,DECEMBER 1 1894,DECEMBER,1,1894,wikisource_vol2_ch12_letter50.txt
ANDREW LANG,DECEMBER 1 1894,DECEMBER,1,1894,wikisource_vol2_ch12_letter51.txt
EDMUND GOSSE,DECEMBER 1 1894,DECEMBER,1,1894,wikisource_vol2_ch12_letter52.txt
HENRY JAMES,JUNE 17 1893,JUNE,17,1893,wikisource_vol2_ch12_letter6.txt
HENRY JAMES,JULY 1893,JULY,,1893,wikisource_vol2_ch12_letter7.txt
A. CONAN DOYLE,JULY 12 1893,JULY,12,1893,wikisource_vol2_ch12_letter8.txt
CHARLES BAXTER,JULY 19 1893,JULY,19,1893,wikisource_vol2_ch12_letter9.txt
MRS. DE MATTOS,JANUARY 1 1886,JANUARY,1,1886,wikisource_vol2_ch8_letter1.txt
J. A. SYMONDS,SPRING 1886,SPRING,,1886,wikisource_vol2_ch8_letter10.txt
W. H. LOW,MARCH 1886,MARCH,,1886,wikisource_vol2_ch8_letter11.txt
MRS. FLEEMING JENKIN,APRIL 1886,APRIL,,1886,wikisource_vol2_ch8_letter12.txt
THOMAS STEVENSON,MARCH 1886,MARCH,,1886,wikisource_vol2_ch8_letter13.txt
MRS. FLEEMING JENKIN,APRIL 15 1886,APRIL,15,1886,wikisource_vol2_ch8_letter14.txt
MRS. FLEEMING JENKIN,APRIL 1886,APRIL,,1886,wikisource_vol2_ch8_letter15.txt
MISS RAWLINSON,APRIL 1886,APRIL,,1886,wikisource_vol2_ch8_letter16.txt
MISS MONROE,MAY 25 1886,MAY,25,1886,wikisource_vol2_ch8_letter17.txt
MISS MONROE,JUNE 1886,JUNE,,1886,wikisource_vol2_ch8_letter18.txt
R. A. M. STEVENSON,JULY 1886,JULY,,1886,wikisource_vol2_ch8_letter19.txt
ALISON CUNNINGHAM,1886,,,1886,wikisource_vol2_ch8_letter2.txt
R. A. M. STEVENSON,JULY 1886,JULY,,1886,wikisource_vol2_ch8_letter20.txt
MR. AND MRS. THOMAS STEVENSON,JULY 7 1886,JULY,7,1886,wikisource_vol2_ch8_letter21.txt
CHARLES BAXTER,JULY 1886,JULY,,1886,wikisource_vol2_ch8_letter22.txt
THOMAS STEVENSON,JULY 28 1886,JULY,28,1886,wikisource_vol2_ch8_letter23.txt
MRS. THOMAS STEVENSON,AUGUST 10 1886,AUGUST,10,1886,wikisource_vol2_ch8_letter24.txt
T. WATTS,SEPTEMBER 1886,SEPTEMBER,,1886,wikisource_vol2_ch8_letter25.txt
FREDERICK LOCKER,SEPTEMBER 4 1886,SEPTEMBER,4,1886,wikisource_vol2_ch8_letter26.txt
FREDERICK LOCKER,SEPTEMBER 1886,SEPTEMBER,,1886,wikisource_vol2_ch8_letter27.txt
FREDERICK LOCKER,SEPTEMBER 1886,SEPTEMBER,,1886,wikisource_vol2_ch8_letter28.txt
FREDERICK LOCKER,SEPTEMBER 24 1886,SEPTEMBER,24,1886,wikisource_vol2_ch8_letter29.txt
MR. AND MRS. THOMAS STEVENSON,JANUARY 1 1886,JANUARY,1,1886,wikisource_vol2_ch8_letter3.txt
SIDNEY COLVIN,DECEMBER 14 1886,DECEMBER,14,1886,wikisource_vol2_ch8_letter30.txt
FREDERICK LOCKER,FEBRUARY 5 1887,FEBRUARY,5,1887,wikisource_vol2_ch8_letter31.txt
HENRY JAMES,FEBRUARY 1887,FEBRUARY,,1887,wikisource_vol2_ch8_letter32.txt
W. H. LOW,APRIL 1887,APRIL,,1887,wikisource_vol2_ch8_letter33.txt
ALISON CUNNINGHAM,APRIL 16 1887,APRIL,16,1887,wikisource_vol2_ch8_letter34.txt
SIDNEY COLVIN,JUNE 1887,JUNE,,1887,wikisource_vol2_ch8_letter35.txt
W. H. LOW,JANUARY 2 1886,JANUARY,2,1886,wikisource_vol2_ch8_letter4.txt
EDMUND GOSSE,JANUARY 2 1886,JANUARY,2,1886,wikisource_vol2_ch8_letter5.txt
JAMES PAYN,JANUARY 2 1886,JANUARY,2,1886,wikisource_vol2_ch8_letter6.txt
W. H. LOW,JANUARY 1886,JANUARY,,1886,wikisource_vol2_ch8_letter7.txt
THOMAS STEVENSON,JANUARY 25 1886,JANUARY,25,1886,wikisource_vol2_ch8_letter8.txt
C. W. STODDARD,FEBRUARY 13 1886,FEBRUARY,13,1886,wikisource_vol2_ch8_letter9.txt
W. E. HENLEY,AUGUST 1887,AUGUST,,1887,wikisource_vol2_ch9_letter1.txt
R. A. M. STEVENSON,OCTOBER 1887,OCTOBER,,1887,wikisource_vol2_ch9_letter10.txt
EDMUND GOSSE,OCTOBER 8 1887,OCTOBER,8,1887,wikisource_vol2_ch9_letter11.txt
W. H. LOW,OCTOBER 1887,OCTOBER,,1887,wikisource_vol2_ch9_letter12.txt
WILLIAM ARCHER,OCTOBER 1887,OCTOBER,,1887,wikisource_vol2_ch9_letter13.txt
HENRY JAMES,OCTOBER 1887,OCTOBER,,1887,wikisource_vol2_ch9_letter14.txt
CHARLES BAXTER,NOVEMBER 18 1887,NOVEMBER,18,1887,wikisource_vol2_ch9_letter15.txt
CHARLES SCRIBNER,NOVEMBER 20 1887,NOVEMBER,20,1887,wikisource_vol2_ch9_letter16.txt
E. L. BURLINGAME,NOVEMBER 1887,NOVEMBER,,1887,wikisource_vol2_ch9_letter17.txt
E. L. BURLINGAME,NOVEMBER 1887,NOVEMBER,,1887,wikisource_vol2_ch9_letter18.txt
J. A. SYMONDS,NOVEMBER 21 1887,NOVEMBER,21,1887,wikisource_vol2_ch9_letter19.txt
W. H. LOW,AUGUST 6 1887,AUGUST,6,1887,wikisource_vol2_ch9_letter2.txt
W. E. HENLEY,DECEMBER 1887,DECEMBER,,1887,wikisource_vol2_ch9_letter20.txt
MRS. FLEEMING JENKIN,DECEMBER 1887,DECEMBER,,1887,wikisource_vol2_ch9_letter21.txt
MISS ADELAIDE BOODLE,DECEMBER 1887,DECEMBER,,1887,wikisource_vol2_ch9_letter22.txt
CHARLES BAXTER,DECEMBER 12 1887,DECEMBER,12,1887,wikisource_vol2_ch9_letter23.txt
MISS MONROE,DECEMBER 19 1887,DECEMBER,19,1887,wikisource_vol2_ch9_letter24.txt
HENRY JAMES,WINTER 1887,WINTER,,1887,wikisource_vol2_ch9_letter25.txt
SIDNEY COLVIN,DECEMBER 1887,DECEMBER,,1887,wikisource_vol2_ch9_letter26.txt
SIDNEY COLVIN,DECEMBER 24 1887,DECEMBER,24,1887,wikisource_vol2_ch9_letter27.txt
MISS ADELAIDE BOODLE,DECEMBER 25 1887,DECEMBER,25,1887,wikisource_vol2_ch9_letter28.txt
CHARLES BAXTER,JANUARY 1888,JANUARY,,1888,wikisource_vol2_ch9_letter29.txt
MISS ADELAIDE BOODLE,AUGUST 19 1887,AUGUST,19,1887,wikisource_vol2_ch9_letter3.txt
E. L. BURLINGAME,WINTER 1887,WINTER,,1887,wikisource_vol2_ch9_letter30.txt
WILLIAM ARCHER,WINTER 1887,WINTER,,1887,wikisource_vol2_ch9_letter31.txt
WILLIAM ARCHER,FEBRUARY 1888,FEBRUARY,,1888,wikisource_vol2_ch9_letter32.txt
WILLIAM ARCHER,SPRING 1888,SPRING,,1888,wikisource_vol2_ch9_letter33.txt
E. L. BURLINGAME,FEBRUARY 1888,FEBRUARY,,1888,wikisource_vol2_ch9_letter34.txt
E. L. BURLINGAME,FEBRUARY 1888,FEBRUARY,,1888,wikisource_vol2_ch9_letter35.txt
SIDNEY COLVIN,MARCH 1888,MARCH,,1888,wikisource_vol2_ch9_letter36.txt
THE REV. DR. CHARTERIS,WINTER 1887,WINTER,,1887,wikisource_vol2_ch9_letter37.txt
HENRY JAMES,MARCH 1888,MARCH,,1888,wikisource_vol2_ch9_letter38.txt
THE REV. DR. CHARTERIS,SPRING 1888,SPRING,,1888,wikisource_vol2_ch9_letter39.txt
MESSRS. CHATTO AND WINDUS,AUGUST 1887,AUGUST,,1887,wikisource_vol2_ch9_letter4.txt
S. R. CROCKETT,SPRING 1888,SPRING,,1888,wikisource_vol2_ch9_letter40.txt
MISS FERRIER,APRIL 1888,APRIL,,1888,wikisource_vol2_ch9_letter41.txt
SIDNEY COLVIN,APRIL 9 1888,APRIL,9,1888,wikisource_vol2_ch9_letter42.txt
MISS ADELAIDE BOODLE,APRIL 1888,APRIL,,1888,wikisource_vol2_ch9_letter43.txt
CHARLES BAXTER,MAY 11 1888,MAY,11,1888,wikisource_vol2_ch9_letter44.txt
HOMER ST. GAUDENS,MAY 27 1888,MAY,27,1888,wikisource_vol2_ch9_letter45.txt
HENRY JAMES,MAY 28 1888,MAY,28,1888,wikisource_vol2_ch9_letter46.txt
SIDNEY COLVIN,AUGUST 1887,AUGUST,,1887,wikisource_vol2_ch9_letter5.txt
SIDNEY COLVIN,SEPTEMBER 1887,SEPTEMBER,,1887,wikisource_vol2_ch9_letter6.txt
HENRY JAMES,SEPTEMBER 1887,SEPTEMBER,,1887,wikisource_vol2_ch9_letter7.txt
SIDNEY COLVIN,SEPTEMBER 1887,SEPTEMBER,,1887,wikisource_vol2_ch9_letter8.txt
W. E. HENLEY,SEPTEMBER 1887,SEPTEMBER,,1887,wikisource_vol2_ch9_letter9.txt
